method_for_feature_extraction,number_of_extracted_components,Machine_Learning_Model_1,1_Average_Accuracy,1_Average_Recall,1_Average_Precision,1_Average_F1_score,1_confusion_matrix,Machine_Learning_Model_2,2_Average_Accuracy,2_Average_Recall,2_Average_Precision,2_Average_F1_score,2_confusion_matrix,Machine_Learning_Model_3,3_Average_Accuracy,3_Average_Recall,3_Average_Precision,3_Average_F1_score,3_confusion_matrix
PCA,3,Random Forest,0.7147713226205192,0.7469097651421507,0.7018002322880372,0.7236526946107784,"220.9,102.7,81.9,241.7",XGBoost,0.6684177997527811,0.6922126081582199,0.6607669616519174,0.6761243585873831,"208.6,115.0,99.6,224.0",K-Nearest Neighbors,0.6891223733003707,0.7673053152039555,0.6635489043292356,0.711665233591287,"197.7,125.9,75.3,248.3"
PCA,3,Random Forest,0.7147713226205192,0.7469097651421507,0.7018002322880372,0.7236526946107784,"220.9,102.7,81.9,241.7",XGBoost,0.6684177997527811,0.6922126081582199,0.6607669616519174,0.6761243585873831,"208.6,115.0,99.6,224.0",K-Nearest Neighbors,0.6891223733003707,0.7673053152039555,0.6635489043292356,0.711665233591287,"197.7,125.9,75.3,248.3"
PCA,4,Random Forest,0.774876390605686,0.8012978986402967,0.7610801291458761,0.7806713834111095,"242.2,81.4,64.3,259.3",XGBoost,0.715389369592089,0.7370210135970333,0.706457345971564,0.7214156079854809,"224.5,99.1,85.1,238.5",K-Nearest Neighbors,0.7438195302843016,0.8439431396786156,0.7031410916580845,0.7671348314606742,"208.3,115.3,50.5,273.1"
PCA,4,Random Forest,0.774876390605686,0.8012978986402967,0.7610801291458761,0.7806713834111095,"242.2,81.4,64.3,259.3",XGBoost,0.715389369592089,0.7370210135970333,0.706457345971564,0.7214156079854809,"224.5,99.1,85.1,238.5",K-Nearest Neighbors,0.7438195302843016,0.8439431396786156,0.7031410916580845,0.7671348314606742,"208.3,115.3,50.5,273.1"
PCA,5,Random Forest,0.8017614338689739,0.838380716934487,0.7811690181399367,0.8087643464003578,"247.6,76.0,52.3,271.3",XGBoost,0.7418108776266996,0.7737948084054388,0.7272727272727273,0.7498128462344662,"229.7,93.9,73.2,250.4",K-Nearest Neighbors,0.7558714462299134,0.8757725587144624,0.7063808574277168,0.782008830022075,"205.8,117.8,40.2,283.4"
PCA,5,Random Forest,0.8017614338689739,0.838380716934487,0.7811690181399367,0.8087643464003578,"247.6,76.0,52.3,271.3",XGBoost,0.7418108776266996,0.7737948084054388,0.7272727272727273,0.7498128462344662,"229.7,93.9,73.2,250.4",K-Nearest Neighbors,0.7558714462299134,0.8757725587144624,0.7063808574277168,0.782008830022075,"205.8,117.8,40.2,283.4"
Kernel PCA,4,Random Forest,0.774876390605686,0.8012978986402967,0.7610801291458761,0.7806713834111095,"242.2,81.4,64.3,259.3",XGBoost,0.715389369592089,0.7370210135970333,0.706457345971564,0.7214156079854809,"224.5,99.1,85.1,238.5",K-Nearest Neighbors,0.7438195302843016,0.8439431396786156,0.7031410916580845,0.7671348314606742,"208.3,115.3,50.5,273.1"
Kernel PCA,5,Random Forest,0.8017614338689739,0.838380716934487,0.7811690181399367,0.8087643464003578,"247.6,76.0,52.3,271.3",XGBoost,0.7418108776266996,0.7737948084054388,0.7272727272727273,0.7498128462344662,"229.7,93.9,73.2,250.4",K-Nearest Neighbors,0.7558714462299134,0.8757725587144624,0.7063808574277168,0.782008830022075,"205.8,117.8,40.2,283.4"
Kernel PCA,6,Random Forest,0.8198393077873918,0.865265760197775,0.7932011331444759,0.8276677505172924,"250.6,73.0,43.6,280.0",XGBoost,0.7690049443757726,0.8164400494437578,0.7456957380750777,0.7794659979347986,"233.5,90.1,59.4,264.2",K-Nearest Neighbors,0.7869283065512979,0.9085290482076637,0.7307979120059657,0.8100289296046288,"215.3,108.3,29.6,294.0"
Kernel PCA,7,Random Forest,0.828646477132262,0.8680469715698393,0.8046405041535377,0.8351419652148059,"255.4,68.2,42.7,280.9",XGBoost,0.7841470951792335,0.8275648949320148,0.7614444128518623,0.7931289797127203,"239.7,83.9,55.8,267.8",K-Nearest Neighbors,0.7878553770086526,0.9224351050679851,0.7268078889700511,0.8130192019610513,"211.4,112.2,25.1,298.5"
Kernel PCA,8,Random Forest,0.8305006180469715,0.877008652657602,0.8023748939779474,0.8380333677838477,"253.7,69.9,39.8,283.8",XGBoost,0.7841470951792335,0.8275648949320148,0.7614444128518623,0.7931289797127203,"239.7,83.9,55.8,267.8",K-Nearest Neighbors,0.7878553770086526,0.9224351050679851,0.7268078889700511,0.8130192019610513,"211.4,112.2,25.1,298.5"
Kernel PCA,9,Random Forest,0.8331273176761435,0.8776266996291717,0.8059023836549376,0.8402366863905325,"255.2,68.4,39.6,284.0",XGBoost,0.7841470951792335,0.8275648949320148,0.7614444128518623,0.7931289797127203,"239.7,83.9,55.8,267.8",K-Nearest Neighbors,0.7878553770086526,0.9224351050679851,0.7268078889700511,0.8130192019610513,"211.4,112.2,25.1,298.5"
Kernel PCA,10,Random Forest,0.8369901112484549,0.877317676143387,0.8118387189019158,0.8433090747066686,"257.8,65.8,39.7,283.9",XGBoost,0.7841470951792335,0.8275648949320148,0.7614444128518623,0.7931289797127203,"239.7,83.9,55.8,267.8",K-Nearest Neighbors,0.7878553770086526,0.9224351050679851,0.7268078889700511,0.8130192019610513,"211.4,112.2,25.1,298.5"
Kernel PCA,11,Random Forest,0.8332818294190357,0.8720642768850433,0.8092916547175222,0.8395061728395062,"257.1,66.5,41.4,282.2",XGBoost,0.7841470951792335,0.8275648949320148,0.7614444128518623,0.7931289797127203,"239.7,83.9,55.8,267.8",K-Nearest Neighbors,0.7878553770086526,0.9224351050679851,0.7268078889700511,0.8130192019610513,"211.4,112.2,25.1,298.5"
